City,Year,AQI,CO2_Emissions,Green_Cover_Loss,Water_Consumption,Energy_Usage,Waste_Generated,Recycling_Rate,Population_Growth,Industrial_Expansion
Sydney,2009,296,25.15,3.44,453.33,1141.83,2.75,56.72,3.53,12.64
Sydney,2016,294,9.53,3.61,69.31,6647.24,2.02,45.16,1.68,7.27
Delhi,2022,151,46.64,1.75,222.98,7428.11,1.4,56.23,2.51,5.38
Houston,2005,237,9.42,0.83,190.68,8960.84,2.87,70.11,2.47,10.11
Chicago,2004,65,40.68,4.03,435.53,1821.36,2.65,55.83,1.05,11.08
Los Angeles,2010,244,9.49,2.95,341.26,5426.58,0.83,15.47,3.38,14.73
Beijing,2013,280,13.36,1.39,66.7,5879.32,2.09,43.28,2.47,5.41
Delhi,2023,191,45.75,3.96,63.48,8252.42,0.88,77.49,3.92,5.56
Houston,2019,265,12.79,4.62,334.54,3278.37,1.77,71.56,2.45,12.59
Phoenix,2002,186,18.48,0.4,443.79,8246.27,1.73,31.77,4.97,2.73
Delhi,2004,141,36.37,3.46,75.78,7150.85,3.5,20.77,3.72,12.33
Delhi,2006,238,27.78,3.83,492.93,9550.9,0.59,60.92,4.66,5.13
Sydney,2007,68,27.04,1.11,140.96,7771.15,1.77,48.31,4.28,7.39
Los Angeles,2016,61,44.16,2.38,164.63,6912.64,2.56,26.57,1.64,13.01
New York,2011,279,40.48,0.44,452.36,2567.42,2.98,56.87,1.7,14.34
Houston,2009,121,38.87,4.55,402.88,2708.76,2.31,33.15,1.37,13.11
New York,2018,292,17.28,2.84,277.89,5134.19,1.07,84.13,1.72,2.69
New York,2021,163,19.69,0.42,386.55,9534.33,2.61,59.75,1.1,14.29
Delhi,2005,206,10.7,0.79,482.89,9244.18,2.41,81.9,4.36,6.88
New York,2002,60,43.57,1.62,330.26,4600.49,3.07,14.15,4.0,7.72
London,2022,73,28.6,3.48,128.95,7064.36,1.97,11.37,3.26,7.13
London,2020,110,43.13,4.98,319.44,3720.08,2.98,79.22,1.61,8.58
Chicago,2005,55,8.68,1.75,225.46,4077.28,3.3,79.3,4.38,10.21
Chicago,2006,204,11.59,0.55,112.8,9988.06,1.75,56.43,2.21,12.53
Delhi,2021,121,16.16,2.52,418.11,3748.19,2.79,56.58,1.54,5.91
London,2014,93,26.16,1.56,382.55,7777.18,2.13,66.04,2.74,5.21
Sydney,2001,244,37.06,4.33,368.24,8552.83,2.91,12.78,1.8,7.45
Phoenix,2001,164,35.81,3.79,485.79,6660.96,2.17,27.36,3.28,3.85
Beijing,2017,115,33.61,4.99,74.24,8290.15,0.89,16.7,2.89,7.25
New York,2016,286,23.07,1.51,491.83,9951.23,3.16,60.67,4.04,5.18
Phoenix,2023,137,33.55,4.61,254.8,2987.54,3.42,32.56,0.6,10.43
Delhi,2001,101,10.78,0.25,424.92,5932.5,2.71,16.03,1.22,4.4
Beijing,2008,265,28.6,2.4,91.36,6313.92,2.94,51.37,0.52,7.16
Beijing,2016,194,13.53,4.42,102.27,7805.12,0.99,63.0,0.79,6.76
London,2008,82,45.38,1.94,495.94,5980.48,3.45,80.97,4.71,3.47
New York,2023,262,26.33,1.45,194.45,5689.96,1.25,78.5,4.94,5.54
Beijing,2023,91,8.72,0.56,302.22,3435.84,1.16,59.19,2.46,11.42
New York,2008,281,32.04,1.0,51.11,9597.16,2.57,43.8,3.6,6.94
Chicago,2022,160,41.93,3.58,410.52,3925.92,1.33,86.2,4.58,2.56
Chicago,2005,188,19.16,2.83,419.12,5916.54,1.58,21.53,1.89,2.23
Houston,2022,154,21.11,3.94,155.64,8616.16,2.25,81.91,2.9,6.97
Phoenix,2013,190,9.86,1.47,189.82,2290.65,2.49,68.19,4.59,7.08
Sydney,2010,77,28.06,2.75,169.57,4549.14,2.89,11.29,3.63,13.67
Phoenix,2018,205,19.68,4.8,493.7,9006.6,2.47,42.92,0.74,12.64
New York,2020,268,28.24,1.92,309.87,7071.94,1.3,82.09,2.67,14.77
Chicago,2024,117,45.58,1.45,326.95,2773.04,2.35,33.46,4.29,10.8
Tokyo,2014,94,19.36,1.83,210.48,2206.29,0.9,10.17,3.54,4.57
Los Angeles,2002,128,38.67,1.85,57.2,4344.04,1.66,77.87,2.86,14.46
Beijing,2008,201,40.19,3.63,421.72,9859.55,2.53,12.4,1.11,6.44
Phoenix,2023,261,28.08,2.13,373.94,1118.56,0.52,10.18,4.92,6.67
Phoenix,2001,92,44.11,2.69,429.09,3748.82,3.11,66.83,4.29,3.85
Los Angeles,2004,168,30.62,1.43,221.68,7851.77,0.92,33.32,3.08,13.46
Beijing,2007,86,49.64,3.1,450.37,1171.24,2.46,65.95,2.85,7.93
Chicago,2001,117,26.39,0.79,409.69,1748.22,3.15,75.87,1.16,7.53
Los Angeles,2014,151,49.75,2.89,247.75,2884.18,3.43,42.87,3.84,9.31
Delhi,2005,231,23.33,4.06,179.63,2857.19,2.4,13.24,0.71,1.17
